name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Cédric Alves Soares,1,1,0,0,0,0,0,0,0,0,23970,0,0,45,0,0.0
Cédric Alves Soares,1,2,0,0,0,0,0,0,0,0,24193,-5169,0,44,0,0.0
Cédric Alves Soares,1,3,0,0,0,0,0,0,0,0,20960,-4337,0,44,0,0.0
Cédric Alves Soares,1,4,0,0,0,0,0,0,0,0,18825,-2988,0,43,0,0.0
Cédric Alves Soares,1,5,0,0,0,0,0,0,0,0,17790,-1611,0,43,0,0.0
Cédric Alves Soares,1,6,0,0,0,0,0,0,0,0,17133,-1207,0,42,0,0.0
Cédric Alves Soares,1,8,0,0,0,0,0,0,0,0,16837,-445,0,42,0,0.0
Cédric Alves Soares,1,9,0,0,0,0,0,0,0,0,15362,-1572,0,42,0,0.0
Cédric Alves Soares,1,10,0,0,0,0,0,0,0,0,14630,-828,0,42,0,0.0
Cédric Alves Soares,1,11,0,0,0,0,0,0,0,0,14586,-229,0,42,0,0.0
Cédric Alves Soares,1,13,0,0,0,0,0,0,0,0,14516,-94,0,42,0,0.0
Cédric Alves Soares,1,14,0,0,0,0,27,0,0,0,14398,-247,0,42,1,0.0833333333333333
Cédric Alves Soares,1,15,0,0,0,0,0,0,0,0,14350,-161,0,42,0,-0.2564102564102564
Cédric Alves Soares,1,16,0,0,0,0,1,0,0,0,14299,-168,0,42,1,-0.1904761904761904
Cédric Alves Soares,1,17,0,0,0,0,0,0,0,0,14551,40,0,42,0,-0.5333333333333333
Cédric Alves Soares,1,18,0,0,0,0,0,0,0,0,14533,-107,0,42,0,-0.2083333333333333
Cédric Alves Soares,1,19,0,0,0,0,0,0,0,0,14456,-128,0,42,0,-0.2156862745098039
Cédric Alves Soares,1,20,0,0,0,0,0,0,0,0,14425,-131,0,42,0,0.1111111111111111
Cédric Alves Soares,1,21,0,0,0,0,0,0,0,0,14379,-117,0,42,0,0.1052631578947368
Cédric Alves Soares,1,22,0,0,0,0,0,0,0,0,14703,207,0,42,0,0.1
Cédric Alves Soares,1,23,0,0,0,0,1,0,0,0,14828,78,0,42,1,0.1428571428571428
Cédric Alves Soares,1,24,0,0,0,0,0,0,0,0,14910,48,0,42,0,-0.1969696969696969
Cédric Alves Soares,1,25,0,0,0,0,0,0,0,0,15236,122,0,42,0,-0.2028985507246376
Cédric Alves Soares,1,26,0,0,0,1,7,0,0,0,15056,-71,0,42,1,-0.1666666666666666
Cédric Alves Soares,1,27,0,0,0,0,0,0,0,0,14820,-250,0,42,0,-0.1733333333333333
Cédric Alves Soares,1,29,0,0,0,0,8,0,0,0,14836,27,0,42,1,-0.141025641025641
Cédric Alves Soares,1,30,0,0,0,1,67,0,0,0,14876,9,0,42,2,-0.4074074074074074
Cédric Alves Soares,1,31,0,0,0,0,0,0,0,0,15135,222,0,42,0,-0.75
Cédric Alves Soares,1,32,0,0,0,0,0,0,0,0,15302,41,0,42,0,-0.7586206896551724
Cédric Alves Soares,1,33,0,0,0,0,22,0,0,0,15223,0,0,42,1,-0.3999999999999999
Cédric Alves Soares,1,34,0,0,0,0,0,0,0,0,15539,142,0,42,0,-0.075268817204301
Cédric Alves Soares,1,34,0,0,0,1,90,0,0,0,15539,142,0,42,2,-0.0208333333333333
Cédric Alves Soares,1,35,0,0,0,0,0,0,0,0,15530,111,0,42,0,-0.696969696969697
Cédric Alves Soares,1,36,0,0,0,0,0,0,0,0,15610,42,0,42,0,-0.3725490196078431
Cédric Alves Soares,1,37,0,0,0,0,0,0,0,0,15704,64,0,42,0,-0.3809523809523809
Cédric Alves Soares,1,38,0,0,0,0,0,0,0,0,15719,7,0,42,0,0.2777777777777778
Rob Holding,5,1,0,0,0,0,0,0,0,0,14331,0,0,45,0,0.0
Rob Holding,5,2,0,0,0,0,0,0,0,0,14520,-2978,0,44,0,0.0
Rob Holding,5,3,0,0,0,0,0,0,0,0,13295,-2174,0,44,0,0.0
Rob Holding,5,4,0,0,0,0,1,0,0,0,12198,-1795,0,43,1,0.25
Rob Holding,5,5,0,0,0,0,2,0,0,0,12085,-648,0,43,1,0.0666666666666667
Rob Holding,5,6,0,0,0,0,0,0,0,0,12112,-473,0,43,0,-0.3333333333333333
Rob Holding,5,8,0,0,0,0,0,0,0,0,12232,-189,0,43,0,-0.3809523809523809
Rob Holding,5,9,0,0,0,0,0,0,0,0,12343,-190,0,42,0,-0.0833333333333333
Rob Holding,5,10,0,0,0,0,0,0,0,0,12562,-51,0,42,0,0.2222222222222222
Rob Holding,5,11,0,0,0,0,8,0,0,0,12405,-327,0,42,1,0.3
Rob Holding,5,13,0,0,0,0,0,0,0,0,12380,-47,0,42,0,-0.0606060606060606
Rob Holding,5,14,0,0,0,0,0,0,0,0,12264,-263,0,42,0,-0.0833333333333333
Rob Holding,5,15,0,0,0,0,1,0,0,0,12120,-247,0,42,1,-0.0256410256410256
Rob Holding,5,16,0,0,0,0,0,0,0,0,12141,-108,0,42,0,-0.0476190476190476
Rob Holding,5,17,0,0,0,0,0,0,0,0,12351,11,0,42,0,-0.0666666666666666
Rob Holding,5,18,0,0,0,0,3,0,0,0,12284,-146,0,42,1,-0.0208333333333333
Rob Holding,5,19,0,0,0,0,0,0,0,0,12199,-137,0,42,0,-0.0392156862745097
Rob Holding,5,20,0,0,0,0,0,0,0,0,12150,-145,0,42,0,-0.0555555555555555
Rob Holding,5,21,0,0,0,0,1,0,0,0,12025,-157,0,42,1,-0.0175438596491228
Rob Holding,5,22,0,0,0,0,0,0,0,0,11971,-163,0,42,0,-0.0333333333333333
Rob Holding,5,23,0,0,0,0,0,0,0,0,11934,-110,0,42,0,-0.0476190476190476
Rob Holding,5,23,0,0,0,0,0,0,0,0,11934,-110,0,42,0,-0.0606060606060606
Rob Holding,5,24,0,0,0,0,1,0,0,0,11918,-76,0,42,1,0.3043478260869565
Rob Holding,5,25,0,0,0,0,0,0,0,0,11876,-83,0,42,0,-0.0416666666666666
Rob Holding,5,25,0,0,0,0,0,0,0,0,11876,-83,0,42,0,-0.0533333333333332
Rob Holding,5,26,0,0,0,0,0,0,0,0,11932,-59,0,42,0,-0.0641025641025641
Rob Holding,5,27,0,0,0,0,0,0,0,0,11937,-41,0,42,0,0.2592592592592592
Rob Holding,5,28,0,0,0,1,90,0,0,0,12045,21,0,42,2,0.3214285714285714
Rob Holding,5,29,0,0,0,1,90,0,0,0,12800,667,0,42,2,-0.2873563218390804
Rob Holding,5,30,0,0,0,2,90,0,0,0,13335,480,0,42,1,-0.9333333333333332
Rob Holding,5,31,0,0,0,2,90,0,0,0,15555,2103,0,42,1,-1.2473118279569892
Rob Holding,5,32,0,0,0,3,90,0,0,0,19850,3828,0,42,1,-0.8958333333333333
Rob Holding,5,33,0,0,0,4,90,0,0,0,18521,-906,0,42,6,-0.3939393939393939
Rob Holding,5,34,0,0,0,0,5,0,0,0,20747,1869,0,42,1,-2.049019607843137
Rob Holding,5,35,0,0,0,0,0,0,0,0,20800,149,0,42,0,-2.0666666666666664
Rob Holding,5,36,0,0,0,0,0,0,0,0,20209,-684,0,42,0,-1.75
Rob Holding,5,37,0,0,0,0,0,0,0,0,19621,-630,0,42,0,0.2342342342342342
Rob Holding,5,38,0,0,0,0,0,0,0,0,19367,-297,0,42,0,0.5526315789473685
Kieran Tierney,8,1,0,0,0,0,7,0,0,0,105345,0,0,50,1,0.0
