name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Aaron Connolly,127,6,0,0,0,0,0,0,0,0.0,4.5,-3181,0,0,0.0
Admiral Muskwe,327,6,0,0,0,0,0,0,0,0.1,4.5,-11837,0,0,0.0
Alejo Véliz,641,6,0,0,0,0,0,0,0,0.1,5.4,-2742,0,0,0.0
Aleksandar Mitrović,278,6,0,0,0,32,0,0,0,0.8,7.4,-330158,0,1,0.0
Alexander Isak,415,6,3,1,5,296,0,0,0,22.6,7.6,144862,0,24,-0.5
Andi Zeqiri,155,6,0,0,0,0,0,0,0,0.8,4.4,-48049,0,0,0.0
Anthony Martial,390,6,0,0,4,156,0,0,0,0.3,6.5,-7057,0,5,-0.833333333333333
Antoine Semenyo,82,6,1,0,7,247,0,0,0,3.1,4.5,182672,1,14,-1.666666666666666
Antwoine Hackford,656,6,0,0,1,11,0,0,0,0.1,4.5,2198,0,2,-0.16666666666666674
Aribim Pepple,331,6,0,0,0,0,0,0,0,0.1,4.5,-11587,0,0,0.0
Armando Broja,193,6,0,0,0,11,0,0,0,0.1,4.9,590,0,1,0.16666666666666666
Bénie Traoré,593,6,0,0,9,317,0,0,0,0.0,5.3,-3399,0,8,-1.0
Callum Wilson,433,6,1,2,4,255,0,0,0,6.2,7.8,-265490,1,24,-0.5
Cameron Archer,33,6,3,0,12,259,0,0,0,6.8,4.5,98105,2,15,-1.666666666666667
Carlos Vinícius Alves Morais,287,6,2,0,0,39,0,0,0,2.0,4.8,-191604,0,8,0.16666666666666652
Carlton Morris,326,6,5,0,11,433,0,0,0,4.7,5.5,318124,0,26,0.0
Cauley Woodrow,340,6,0,0,2,35,0,0,0,0.9,4.4,6618,0,4,0.0
Chiedozie Ogbene,328,6,0,0,4,145,0,0,0,0.1,4.9,-5941,0,6,-0.16666666666666652
Chris Wood,468,6,2,0,0,58,0,0,0,0.5,5.0,-10551,0,12,-1.5
Christopher Nkunku,212,6,0,0,0,0,0,0,0,0.6,7.3,-107457,0,0,0.0
Cody Gakpo,297,6,1,0,4,273,0,0,0,3.1,7.3,-336167,0,13,-0.666666666666667
Dane Scarlett,640,6,0,0,0,0,0,0,0,0.2,4.5,-15852,0,0,0.0
