name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Eddie Nketiah,11,1,0,0,0,7,0,0,0,67198.0,70.0,0,0,1,0.0
Eddie Nketiah,11,2,0,0,0,6,0,0,0,57718.0,69.0,-17931,0,1,0.0
Eddie Nketiah,11,3,0,0,0,16,0,0,0,47543.0,68.0,-14362,0,1,0.0
Eddie Nketiah,11,4,0,0,0,29,0,0,0,41747.0,67.0,-8641,0,1,0.0
Eddie Nketiah,11,5,0,0,0,2,0,0,0,40171.0,67.0,-3885,0,1,0.0
Eddie Nketiah,11,6,0,0,1,16,0,0,0,37407.0,66.0,-4503,0,1,0.0
Eddie Nketiah,11,8,0,0,0,12,0,0,0,36624.0,66.0,-631,0,1,0.0
Eddie Nketiah,11,9,0,0,0,10,0,0,0,36648.0,66.0,-1040,0,1,0.0
Eddie Nketiah,11,10,0,0,0,1,0,0,0,36582.0,66.0,-824,0,1,0.0
Eddie Nketiah,11,11,0,0,0,8,0,0,0,36793.0,65.0,-485,0,1,0.0
Eddie Nketiah,11,13,0,0,0,19,0,0,0,36526.0,65.0,-272,0,1,0.0
Eddie Nketiah,11,14,0,0,0,15,0,0,0,36550.0,65.0,-487,0,1,0.0
Eddie Nketiah,11,15,0,0,0,0,0,0,0,37096.0,65.0,4,0,0,-0.0769230769230768
Eddie Nketiah,11,16,0,0,0,0,0,0,0,37427.0,65.0,-99,0,0,0.1904761904761904
Eddie Nketiah,11,17,0,0,1,90,0,0,0,235766.0,65.0,195305,0,6,0.8666666666666667
Eddie Nketiah,11,18,2,0,2,90,0,0,0,283638.0,65.0,46350,0,8,-0.375
Eddie Nketiah,11,19,0,1,0,90,0,0,0,333874.0,65.0,48352,1,1,-3.07843137254902
Eddie Nketiah,11,20,0,1,0,90,0,0,0,377070.0,66.0,41361,0,2,-3.388888888888889
Eddie Nketiah,11,21,3,0,2,90,0,0,0,372033.0,66.0,-7272,0,13,-1.4561403508771926
Eddie Nketiah,11,22,0,0,1,90,0,0,0,934782.0,67.0,540750,0,2,-3.1333333333333333
Eddie Nketiah,11,23,0,0,1,90,0,0,0,1363903.0,68.0,423472,0,2,-3.4761904761904763
Eddie Nketiah,11,23,0,0,3,90,0,0,0,1363903.0,68.0,423472,1,4,-3.3939393939393936
Eddie Nketiah,11,24,0,0,2,90,0,0,0,1305603.0,68.0,-51560,0,2,-0.4057971014492754
Eddie Nketiah,11,25,0,0,0,20,0,0,0,1543965.0,68.0,132476,0,1,-0.4583333333333329
Eddie Nketiah,11,25,0,0,0,18,0,0,0,1543965.0,68.0,132476,0,4,-0.0533333333333336
Eddie Nketiah,11,26,0,0,0,0,0,0,0,780279.0,68.0,-660354,0,0,-0.1410256410256409
Eddie Nketiah,11,27,0,0,0,0,0,0,0,456112.0,66.0,-324161,0,0,0.4444444444444444
Eddie Nketiah,11,28,0,0,0,0,0,0,0,314230.0,66.0,-126893,0,0,0.7023809523809523
Eddie Nketiah,11,29,0,0,0,0,0,0,0,264082.0,65.0,-70267,0,0,1.9655172413793105
Eddie Nketiah,11,30,0,0,0,0,0,0,0,238821.0,65.0,-27877,0,0,1.9
