name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Bernd Leno,2,1,0,0,0,0,0,0,0,116351.0,0,0,45.0,0,0.0
Bernd Leno,2,2,0,0,0,0,0,0,0,129089.0,-7183,0,45.0,0,0.0
Bernd Leno,2,3,0,0,2,90,0,0,3,121123.0,-13340,0,45.0,2,0.0
Bernd Leno,2,4,0,0,2,90,0,0,6,120315.0,-5667,0,45.0,3,0.5833333333333334
Bernd Leno,2,5,0,0,1,90,0,0,2,130735.0,4041,0,45.0,2,-0.2666666666666668
Bernd Leno,2,6,0,0,2,90,0,0,8,135461.0,-229,0,45.0,3,-0.6666666666666667
Bernd Leno,2,8,0,0,2,90,0,0,1,183836.0,24787,0,45.0,1,-1.0952380952380951
Bernd Leno,2,9,0,0,4,90,0,0,6,176437.0,2862,0,45.0,2,-0.375
Bernd Leno,2,10,0,0,3,90,0,0,5,170686.0,-6887,0,45.0,2,-0.3333333333333332
Bernd Leno,2,11,0,0,2,90,0,0,4,178799.0,5836,0,45.0,2,0.0333333333333332
Bernd Leno,2,12,3,1,0,90,0,0,6,171874.0,-5350,0,45.0,11,0.5454545454545454
Bernd Leno,2,13,0,0,2,90,0,0,3,173006.0,-1605,0,45.0,2,-2.5
Bernd Leno,2,14,3,1,0,90,0,0,4,171453.0,-2443,0,45.0,10,-1.9230769230769231
Bernd Leno,2,15,0,0,2,90,0,0,3,172523.0,-90,0,45.0,2,-4.666666666666667
Bernd Leno,2,16,2,0,2,90,0,0,8,172422.0,-1258,0,45.0,5,-1.5333333333333337
Bernd Leno,2,17,0,1,0,90,0,0,0,199970.0,24777,0,45.0,6,-2.354166666666667
Bernd Leno,2,18,0,0,1,90,0,0,2,222038.0,20380,0,45.0,2,-1.0980392156862742
Bernd Leno,2,19,3,1,0,90,0,0,6,260929.0,33534,1,45.0,10,-0.7222222222222219
Bernd Leno,2,19,0,0,1,90,0,0,9,260929.0,33534,1,45.0,4,-2.3684210526315788
Bernd Leno,2,20,0,0,1,90,0,0,4,252553.0,-3839,0,45.0,3,-1.7333333333333332
Bernd Leno,2,21,0,0,1,90,0,0,2,259831.0,4225,0,45.0,2,-2.1428571428571432
Bernd Leno,2,22,0,1,0,90,0,0,2,258793.0,-2616,0,45.0,6,0.6363636363636362
Bernd Leno,2,23,0,1,0,90,0,0,1,273675.0,12461,0,45.0,6,0.0724637681159423
Bernd Leno,2,24,3,1,0,90,0,0,7,280731.0,6507,0,45.0,11,-0.625
Bernd Leno,2,25,0,0,1,90,0,0,1,442547.0,103514,0,45.0,2,-3.706666666666667
Bernd Leno,2,26,0,0,3,90,0,0,3,384759.0,-2333,0,45.0,2,-2.4487179487179485
Bernd Leno,2,27,0,0,3,90,0,0,4,371508.0,-14240,0,45.0,2,-1.1851851851851851
Bernd Leno,2,29,0,0,2,90,0,0,4,363529.0,6436,0,45.0,2,1.75
Bernd Leno,2,30,0,0,1,90,0,0,5,379403.0,13418,0,45.0,3,1.7241379310344829
Bernd Leno,2,31,0,0,1,90,0,0,6,387301.0,7345,1,46.0,3,1.3666666666666667
Bernd Leno,2,32,0,0,1,90,0,0,2,454237.0,24885,0,46.0,2,0.978494623655914
Bernd Leno,2,33,0,0,1,90,0,0,2,413459.0,614,0,46.0,2,0.9270833333333336
Bernd Leno,2,34,0,0,2,90,0,0,7,400036.0,-13489,0,46.0,3,1.2424242424242422
Bernd Leno,2,34,0,0,1,90,0,0,2,400036.0,-13489,0,46.0,2,1.1960784313725488
Bernd Leno,2,35,1,0,3,90,0,1,6,403014.0,2060,0,46.0,9,1.3523809523809522
Bernd Leno,2,36,2,1,0,90,0,0,1,406229.0,2488,0,46.0,8,-0.8611111111111116
Bernd Leno,2,37,0,0,2,90,0,0,3,410634.0,4887,0,46.0,2,-2.5765765765765765
