name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Granit Xhaka,3,1,0,0,0,90,0,0,48303,0,1,50,2,0.0
Granit Xhaka,3,2,1,2,1,90,0,0,65418,-629,0,50,12,0.0
Granit Xhaka,3,3,1,0,0,87,0,0,216726,112040,0,50,6,0.0
Granit Xhaka,3,4,0,0,0,90,0,0,267951,42760,0,50,2,-1.166666666666667
Granit Xhaka,3,5,0,0,0,90,0,0,288460,10781,0,50,2,-1.8666666666666671
Granit Xhaka,3,6,0,0,0,90,0,0,308627,8776,0,50,2,0.9999999999999996
Granit Xhaka,3,8,1,0,0,90,0,0,302039,-3612,1,50,5,2.428571428571429
Granit Xhaka,3,9,0,2,1,90,0,0,317511,7375,0,51,9,2.0
Granit Xhaka,3,10,0,0,0,90,0,0,390185,63525,0,51,2,-0.6666666666666661
Granit Xhaka,3,11,0,0,0,90,0,0,381694,-8549,0,51,3,-0.833333333333333
Granit Xhaka,3,13,0,3,1,90,0,0,368620,16549,0,51,10,0.333333333333333
Granit Xhaka,3,14,0,0,0,74,0,0,438068,63626,0,51,3,-0.1666666666666669
Granit Xhaka,3,15,0,0,0,90,0,0,429403,-9632,0,51,3,-0.6410256410256405
Granit Xhaka,3,16,0,0,0,15,0,0,420636,-11525,0,51,1,-0.9047619047619042
Granit Xhaka,3,17,1,0,0,90,0,0,396383,-28511,0,51,5,2.1333333333333333
Granit Xhaka,3,18,0,0,0,90,0,0,396368,-1692,0,51,2,1.3125
Granit Xhaka,3,19,0,0,0,90,0,0,371502,-24944,1,51,2,1.509803921568628
Granit Xhaka,3,20,0,0,0,90,0,0,349243,-23486,0,50,3,1.1111111111111107
Granit Xhaka,3,21,1,0,0,90,0,0,330216,-20825,0,50,5,1.824561403508772
Granit Xhaka,3,22,0,0,0,90,0,0,315354,-16250,0,50,2,0.7166666666666663
Granit Xhaka,3,23,0,0,0,80,0,0,320392,3683,0,49,2,0.6190476190476191
Granit Xhaka,3,23,0,0,0,82,0,0,320392,3683,0,49,2,0.8636363636363638
Granit Xhaka,3,24,0,0,0,78,0,0,311777,-9378,0,49,2,1.7826086956521738
Granit Xhaka,3,25,0,0,0,90,0,0,307768,-1611,0,49,3,1.75
Granit Xhaka,3,25,0,0,0,71,0,0,307768,-1611,0,49,3,1.3866666666666667
Granit Xhaka,3,26,0,0,0,6,0,0,299605,-11970,0,49,1,0.9487179487179488
Granit Xhaka,3,27,0,0,0,90,0,0,286327,-13740,0,49,3,1.259259259259259
Granit Xhaka,3,28,0,2,1,90,0,0,282313,-3425,0,49,9,1.452380952380952
Granit Xhaka,3,29,0,2,1,85,0,0,280203,-3591,0,49,9,-0.3678160919540225
Granit Xhaka,3,30,0,0,0,90,0,0,288288,6470,1,49,1,-3.1333333333333333
Granit Xhaka,3,31,0,0,0,90,0,0,296353,7194,0,49,2,-2.526881720430107
Granit Xhaka,3,32,0,0,0,0,0,0,297275,1483,0,49,0,-0.3125
Granit Xhaka,3,33,0,0,0,59,0,0,281705,-16389,0,49,1,2.606060606060606
Granit Xhaka,3,34,3,2,0,90,0,0,273501,-7865,0,48,13,2.8823529411764706
Granit Xhaka,3,35,0,0,0,90,0,0,287478,12199,0,48,3,-0.8095238095238098
Granit Xhaka,3,36,0,0,0,59,0,0,295114,7176,0,48,1,-1.8888888888888893
Granit Xhaka,3,37,0,0,0,62,0,0,300848,5315,0,48,2,-1.9369369369369367
Granit Xhaka,3,38,0,2,2,74,0,0,308140,6814,0,48,15,2.026315789473684
Mohamed Elneny,4,1,0,0,0,0,0,0,86132,0,0,45,0,0.0
Mohamed Elneny,4,2,0,0,0,0,0,0,87552,-12599,0,45,0,0.0
Mohamed Elneny,4,3,0,0,0,0,0,0,131934,21882,0,44,0,0.0
Mohamed Elneny,4,4,0,0,0,90,0,0,115883,-18950,0,44,2,0.5
Mohamed Elneny,4,5,0,0,0,0,0,0,110818,-9174,0,44,0,-0.2666666666666666
Mohamed Elneny,4,6,0,0,0,0,0,0,85016,-25515,0,44,0,-0.3333333333333333
Mohamed Elneny,4,8,0,0,0,0,0,0,81657,-6095,0,43,0,-0.3809523809523809
Mohamed Elneny,4,9,0,0,0,0,0,0,77553,-5443,0,43,0,0.25
Mohamed Elneny,4,10,0,0,0,0,0,0,71360,-6254,0,43,0,0.2222222222222222
Mohamed Elneny,4,11,0,0,0,0,0,0,65729,-5619,0,43,0,0.2
Mohamed Elneny,4,13,0,0,0,0,0,0,60967,-2121,0,43,0,0.1818181818181818
Mohamed Elneny,4,14,0,0,0,0,0,0,64887,2891,0,42,0,0.1666666666666666
Mohamed Elneny,4,15,0,0,0,3,0,0,71884,5537,0,42,1,0.2307692307692307
Mohamed Elneny,4,16,0,0,0,1,0,0,78891,5975,0,42,1,-0.0476190476190476
Mohamed Elneny,4,17,0,0,0,1,0,0,90846,10525,0,42,1,-0.3333333333333333
Mohamed Elneny,4,18,0,0,0,16,0,0,94836,2880,0,42,1,-0.625
Mohamed Elneny,4,19,0,0,0,0,0,0,91604,-3592,0,42,0,-0.6470588235294117
Mohamed Elneny,4,20,0,0,0,0,0,0,90147,-3557,0,42,0,-0.3333333333333333
Mohamed Elneny,4,21,0,0,0,0,0,0,84202,-4490,0,42,0,-0.0175438596491228
Mohamed Elneny,4,22,0,0,0,0,0,0,82046,-2962,0,41,0,0.3
Mohamed Elneny,4,23,0,0,0,0,0,0,76867,-5079,0,41,0,0.2857142857142857
Mohamed Elneny,4,23,0,0,0,0,0,0,76867,-5079,0,41,0,0.2727272727272727
Mohamed Elneny,4,24,0,0,0,0,0,0,74667,-2397,0,41,0,0.2608695652173913
Mohamed Elneny,4,25,0,0,0,0,0,0,71298,-3025,0,41,0,0.25
Mohamed Elneny,4,25,0,0,0,0,0,0,71298,-3025,0,41,0,0.24
Mohamed Elneny,4,26,0,0,0,0,0,0,69981,-1830,0,41,0,0.2307692307692307
Mohamed Elneny,4,27,0,0,0,0,0,0,68745,-1295,0,41,0,0.2222222222222222
Mohamed Elneny,4,28,0,0,0,0,0,0,67602,-1077,0,41,0,0.2142857142857142
Mohamed Elneny,4,29,0,0,0,0,0,0,66979,-825,0,41,0,0.2068965517241379
Mohamed Elneny,4,30,0,0,0,0,0,0,66519,-478,0,41,0,0.2
Mohamed Elneny,4,31,0,0,0,0,0,0,66081,-476,0,41,0,0.1935483870967742
Mohamed Elneny,4,32,0,0,0,0,0,0,65559,-517,0,41,0,0.1875
Mohamed Elneny,4,33,0,0,0,0,0,0,65462,-153,0,41,0,0.1818181818181818
Mohamed Elneny,4,34,0,0,0,0,0,0,65424,-175,0,41,0,0.1764705882352941
Mohamed Elneny,4,35,0,0,0,0,0,0,65111,-227,0,41,0,0.1714285714285714
Mohamed Elneny,4,36,0,0,0,0,0,0,65059,-103,0,41,0,0.1666666666666666
Mohamed Elneny,4,37,0,0,0,0,0,0,65668,274,0,41,0,0.1621621621621621
Mohamed Elneny,4,38,0,0,0,0,0,0,66165,561,0,41,0,0.1578947368421052
Thomas Partey,6,1,0,0,0,90,0,0,39617,0,0,50,3,0.0
Thomas Partey,6,2,0,0,0,90,0,0,61511,4047,0,50,2,0.0
Thomas Partey,6,3,0,0,0,90,0,0,61170,-5523,0,50,3,0.0
Thomas Partey,6,4,0,0,0,0,0,0,54948,-8910,0,50,0,-0.6666666666666665
Thomas Partey,6,5,0,0,0,0,0,0,40160,-15298,0,49,0,-0.0666666666666666
