name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Cresswell,530,1,0,0,0,0,0,0,0,0,1.0,-6098,0,4.5,0,0.0
Aaron Cresswell,530,2,0,0,0,0,0,0,0,0,0.8,-19502,0,4.4,0,0.0
Aaron Cresswell,530,3,0,0,0,0,0,0,0,0,0.7,-26974,0,4.4,0,0.0
Aaron Cresswell,530,4,0,0,0,0,0,0,0,0,0.6,-35460,0,4.3,0,0.0
Aaron Cresswell,530,5,0,0,0,0,0,0,0,0,0.6,-39978,0,4.3,0,0.0
Aaron Cresswell,530,6,0,0,0,0,0,0,0,0,0.5,-47977,0,4.3,0,0.0
Aaron Hickey,104,1,0,0,0,2,71,0,0,0,0.3,-353,1,4.5,0,0.0
Aaron Hickey,104,2,0,0,1,2,148,0,0,0,0.3,115,2,4.5,5,0.0
Aaron Hickey,104,3,0,0,1,3,238,0,0,0,0.3,441,2,4.5,7,0.0
Aaron Hickey,104,4,0,0,1,5,319,0,0,0,0.3,135,2,4.5,8,1.0
Aaron Hickey,104,5,0,0,1,6,400,0,0,0,0.3,544,3,4.5,9,-0.8666666666666671
Aaron Hickey,104,6,0,0,1,9,472,0,0,0,0.4,6052,3,4.5,10,-1.5
Aaron Wan-Bissaka,401,1,3,1,1,0,90,0,0,0,2.3,46750,0,4.5,12,0.0
Aaron Wan-Bissaka,401,2,3,1,1,1,155,0,0,0,5.4,243820,1,4.6,13,0.0
Aaron Wan-Bissaka,401,3,3,1,1,3,245,0,0,0,6.0,292273,2,4.6,13,0.0
Aaron Wan-Bissaka,401,4,3,1,1,6,335,0,0,0,5.8,266665,2,4.6,14,0.3333333333333339
Aaron Wan-Bissaka,401,5,3,1,1,6,340,0,0,0,5.4,219444,2,4.6,15,0.06666666666666643
Aaron Wan-Bissaka,401,6,3,1,1,6,340,0,0,0,3.3,22050,2,4.5,15,-0.3333333333333339
Abdul Rahman Baba,190,1,0,0,0,0,0,0,0,0,0.0,-68,0,4.0,0,0.0
Abdul Rahman Baba,190,2,0,0,0,0,0,0,0,0,0.0,-147,0,4.0,0,0.0
Abdul Rahman Baba,190,3,0,0,0,0,0,0,0,0,0.0,-171,0,4.0,0,0.0
Abdul Rahman Baba,190,4,0,0,0,0,0,0,0,0,0.0,-201,0,4.0,0,0.0
Abdul Rahman Baba,190,5,0,0,0,0,0,0,0,0,0.0,-211,0,4.0,0,0.0
Abdul Rahman Baba,190,6,0,0,0,0,0,0,0,0,0.0,-224,0,4.0,0,0.0
Adam Smith,84,1,0,0,0,0,0,0,0,0,0.0,-424,0,4.5,0,0.0
Adam Smith,84,2,0,0,0,0,0,0,0,0,0.0,-999,0,4.4,0,0.0
Adam Smith,84,3,0,0,0,0,0,0,0,0,0.0,-1187,0,4.4,0,0.0
Adam Smith,84,4,0,0,0,0,0,0,0,0,0.0,-1320,0,4.4,0,0.0
Adam Smith,84,5,0,0,0,0,0,0,0,0,0.0,-1342,0,4.4,0,0.0
Adam Smith,84,6,0,0,0,0,0,0,0,0,0.0,-1373,0,4.4,0,0.0
Adam Webster,153,1,0,0,0,0,0,0,0,0,0.3,-4321,0,4.5,0,0.0
Adam Webster,153,2,0,0,0,1,90,0,0,0,0.3,-4813,1,4.4,1,0.0
Adam Webster,153,3,0,0,0,4,180,0,0,0,0.3,-5122,1,4.4,2,0.0
Adam Webster,153,4,0,0,0,4,180,0,0,0,0.3,-6653,1,4.4,2,0.25
Adam Webster,153,5,0,0,0,4,180,0,0,0,0.2,-8017,1,4.4,2,-0.26666666666666683
Adam Webster,153,6,0,0,0,5,270,0,0,0,0.2,-8960,1,4.4,4,-0.16666666666666674
Aidan Francis-Clarke,648,1,0,0,0,0,0,0,0,0,0.0,90,0,4.0,0,0.0
Aidan Francis-Clarke,648,2,0,0,0,0,0,0,0,0,0.0,249,0,4.0,0,0.0
Aidan Francis-Clarke,648,3,0,0,0,0,0,0,0,0,0.0,275,0,4.0,0,0.0
