name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Aaron Connolly,127,1,0,0,0,0,0,0,0,0.1,4.5,-980,0,0,0.0
Aaron Connolly,127,2,0,0,0,0,0,0,0,0.0,4.5,-2033,0,0,0.0
Aaron Connolly,127,3,0,0,0,0,0,0,0,0.0,4.5,-2365,0,0,0.0
Aaron Connolly,127,4,0,0,0,0,0,0,0,0.0,4.5,-2802,0,0,0.0
Aaron Connolly,127,5,0,0,0,0,0,0,0,0.0,4.5,-2998,0,0,0.0
Aaron Connolly,127,6,0,0,0,0,0,0,0,0.0,4.5,-3181,0,0,0.0
Aaron Connolly,127,7,0,0,0,0,0,0,0,0.0,4.5,-3329,0,0,0.0
Aaron Connolly,127,8,0,0,0,0,0,0,0,0.0,4.5,-3390,0,0,0.0
Ademola Ola-Adebomi,720,7,0,0,0,0,0,0,0,0.0,4.5,354,0,0,0.0
Ademola Ola-Adebomi,720,8,0,0,0,0,0,0,0,0.0,4.5,599,0,0,0.0
Admiral Muskwe,327,1,0,0,0,0,0,0,0,0.2,4.5,-1094,0,0,0.0
Admiral Muskwe,327,2,0,0,0,0,0,0,0,0.2,4.5,-3849,0,0,0.0
Admiral Muskwe,327,3,0,0,0,0,0,0,0,0.2,4.5,-5291,0,0,0.0
Admiral Muskwe,327,4,0,0,0,0,0,0,0,0.2,4.5,-8111,0,0,0.0
Admiral Muskwe,327,5,0,0,0,0,0,0,0,0.1,4.5,-10021,0,0,0.0
Admiral Muskwe,327,6,0,0,0,0,0,0,0,0.1,4.5,-11837,0,0,0.0
Admiral Muskwe,327,7,0,0,0,0,0,0,0,0.1,4.5,-13369,0,0,0.0
Admiral Muskwe,327,8,0,0,0,0,0,0,0,0.1,4.5,-14041,0,0,0.0
Alejo Véliz,641,1,0,0,0,0,0,0,0,0.1,5.5,-39,0,0,0.0
Alejo Véliz,641,2,0,0,0,0,0,0,0,0.1,5.5,-1040,0,0,0.0
Alejo Véliz,641,3,0,0,0,0,0,0,0,0.1,5.5,-1656,0,0,0.0
Alejo Véliz,641,4,0,0,0,0,0,0,0,0.1,5.4,-2238,0,0,0.0
Alejo Véliz,641,5,0,0,0,0,0,0,0,0.1,5.4,-2464,0,0,0.0
Alejo Véliz,641,6,0,0,0,0,0,0,0,0.1,5.4,-2742,0,0,0.0
Alejo Véliz,641,7,0,0,0,1,0,0,0,0.1,5.4,-2658,1,0,0.0
Alejo Véliz,641,8,0,0,0,2,0,0,0,0.1,5.4,-2633,1,1,0.125
Aleksandar Mitrović,278,1,0,0,0,32,0,0,0,4.2,7.5,-37085,0,1,0.0
Aleksandar Mitrović,278,2,0,0,0,32,0,0,0,1.9,7.4,-224290,0,1,0.0
Aleksandar Mitrović,278,3,0,0,0,32,0,0,0,1.3,7.4,-283241,0,1,0.0
Aleksandar Mitrović,278,4,0,0,0,32,0,0,0,1.0,7.4,-316664,0,1,0.0
Aleksandar Mitrović,278,5,0,0,0,32,0,0,0,0.9,7.4,-324808,0,1,0.0
Aleksandar Mitrović,278,6,0,0,0,32,0,0,0,0.8,7.4,-330158,0,1,0.0
Aleksandar Mitrović,278,7,0,0,0,32,0,0,0,0.8,7.4,-333220,0,1,0.0
Aleksandar Mitrović,278,8,0,0,0,32,0,0,0,0.8,7.4,-334536,0,1,0.0
Alexander Isak,415,1,3,0,1,67,0,0,0,22.2,7.6,294107,0,13,0.0
Alexander Isak,415,2,3,0,2,132,0,0,0,28.0,7.7,668629,0,15,0.0
Alexander Isak,415,3,3,1,2,203,0,0,0,28.8,7.7,736623,0,17,0.0
Alexander Isak,415,4,3,1,5,276,0,0,0,27.4,7.7,611017,0,19,1.0
Alexander Isak,415,5,3,1,5,276,0,0,0,25.5,7.6,430660,0,19,-0.3999999999999986
