name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Cédric Alves Soares,2,8,0,0,0,0,0,0,0,0,0.4,-4237,0,3.9,0
Gabriel dos Santos Magalhães,5,8,2,0,3,3,474,0,0,0,12.4,-1690051,1,4.7,24
Jakub Kiwior,10,8,0,0,0,2,91,0,0,0,0.1,-3742,0,4.3,2
William Saliba,20,8,3,1,4,6,720,0,0,0,26.1,541911,0,5.2,36
Kieran Tierney,24,8,0,0,0,0,0,0,0,0,0.1,-23963,0,4.4,0
Takehiro Tomiyasu,25,8,0,0,1,1,166,0,0,0,0.3,-5774,0,4.5,8
Benjamin White,29,8,7,1,4,6,720,0,0,0,11.5,177279,1,5.6,45
Oleksandr Zinchenko,31,8,2,0,3,4,421,0,0,0,5.5,-138101,0,4.9,25
Jurriën Timber,585,8,0,0,0,0,49,0,0,0,0.5,-457447,1,4.7,0
Alexandre Moreno Lopera,32,8,0,0,0,0,0,0,0,0,0.1,-775,0,5.0,0
Matty Cash,36,8,4,1,2,11,707,1,0,0,31.0,2272256,2,5.0,36
Calum Chambers,37,8,0,0,0,0,0,0,0,0,1.0,-32323,0,3.9,0
Diego Carlos Santos Silva,41,8,0,0,0,5,250,0,0,0,0.3,-21713,0,4.4,6
Lucas Digne,42,8,2,3,2,12,710,0,0,0,6.0,447169,4,4.7,28
Kortney Hause,45,8,0,0,0,0,0,0,0,0,0.2,-4043,0,4.0,0
Ezri Konsa Ngoyo,48,8,1,0,2,12,720,0,0,0,1.0,-11853,1,4.5,21
Tyrone Mings,51,8,0,0,0,2,30,0,0,0,1.8,-1001412,0,4.2,0
Pau Torres,584,8,4,0,2,10,689,0,0,0,2.3,-20252,0,4.5,31
Clément Lenglet,699,8,0,0,0,0,0,0,0,0,0.0,1475,0,4.5,0
Ryan Fredericks,68,8,0,0,0,0,0,0,0,0,0.0,-1402,0,4.4,0
James Hill,69,8,0,0,0,0,15,0,0,0,0.2,-10372,0,4.0,1
Lloyd Kelly,70,8,2,0,1,5,276,0,0,0,0.0,-256,1,4.5,10
Chris Mepham,75,8,0,0,0,1,33,0,0,0,0.1,-4097,1,4.3,1
