name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points
Folarin Balogun,1,5,0,0,0,0,0,0,0,0.4,4.4,-36772,0,0
Gabriel Fernando de Jesus,8,5,2,0,0,39,0,0,0,3.0,7.9,28824,1,8
Eddie Nketiah,13,5,2,3,2,335,0,0,0,6.4,5.6,224730,0,22
Keinan Davis,39,5,0,0,0,0,0,0,0,0.2,4.9,-11819,0,0
Jhon Durán,44,5,3,0,0,56,0,0,0,0.2,5.0,7283,1,14
Ollie Watkins,60,5,0,1,10,410,0,0,0,19.7,7.9,-441569,0,22
Wesley Moraes Ferreira da Silva,61,5,0,0,0,0,0,0,0,0.0,5.0,-657,0,0
Kieffer Moore,76,5,0,0,0,54,0,0,0,0.3,4.8,-18703,0,3
Antoine Semenyo,82,5,1,0,6,221,0,0,0,3.2,4.5,195495,1,13
Dominic Solanke,85,5,2,1,8,450,0,0,0,2.4,6.5,-46591,0,23
Halil Dervişoğlu,100,5,0,0,0,0,0,0,0,0.0,4.5,-585,0,0
Ivan Toney,117,5,0,0,0,0,0,0,0,0.1,7.9,-6504,0,0
Yoane Wissa,119,5,5,1,6,419,0,0,0,14.3,6.1,760727,1,25
Neal Maupay,258,5,0,1,2,128,0,0,0,0.8,4.9,-39254,0,4
Aaron Connolly,127,5,0,0,0,0,0,0,0,0.0,4.5,-2998,0,0
Evan Ferguson,132,5,3,1,4,210,0,0,0,8.1,6.0,134278,0,26
João Pedro Junqueira de Jesus,135,5,3,1,4,252,0,0,0,12.4,5.4,-1104270,1,17
Deniz Undav,149,5,0,0,0,0,0,0,0,0.0,5.5,-4023,0,0
Danny Welbeck,154,5,1,2,2,255,0,0,0,1.0,5.8,-142375,0,11
Andi Zeqiri,155,5,0,0,0,0,0,0,0,0.9,4.4,-38373,0,0
Lyle Foster,168,5,1,0,12,350,0,0,0,1.0,5.0,53602,0,17
Michael Obafemi,174,5,0,0,0,0,0,0,0,0.0,4.9,-2563,0,0
Jay Rodriguez,177,5,0,0,0,9,0,0,0,0.2,5.3,-11959,0,1
Wout Weghorst,183,5,0,0,0,0,0,0,0,0.1,5.5,-13656,0,0
Zeki Amdouni,594,5,2,0,9,262,0,0,0,0.1,5.4,-3355,0,13
Pierre-Emerick Aubameyang,188,5,0,0,0,0,0,0,0,0.0,6.5,-1736,0,0
Armando Broja,193,5,0,0,0,0,0,0,0,0.0,4.9,-2884,0,0
David Datro Fofana,200,5,0,0,0,0,0,0,0,0.0,5.0,-309,0,0
Romelu Lukaku Bolingoli,207,5,0,0,0,0,0,0,0,0.3,6.8,-46421,0,0
Nicolas Jackson,211,5,1,2,5,442,0,0,0,15.9,7.0,62105,4,11
Christopher Nkunku,212,5,0,0,0,0,0,0,0,0.6,7.3,-105115,0,0
Mason Burstow,623,5,0,0,1,8,0,0,0,0.1,4.5,-5475,0,2
Deivid Washington de Souza Eugênio,677,5,0,0,0,0,0,0,0,0.0,4.5,2124,0,0
Ronnie Stutter,717,5,0,0,0,0,0,0,0,0.0,4.5,93,0,0
Odsonne Edouard,225,5,6,1,4,428,0,0,0,4.1,5.6,191308,0,32
Jean-Philippe Mateta,232,5,0,0,4,103,0,0,0,0.4,4.9,-6589,0,13
Luke Plange,237,5,0,0,0,0,0,0,0,0.0,4.5,-1064,0,0
John-Kymani Gordon,658,5,0,0,0,0,0,0,0,0.1,4.5,390,0,0
Dominic Calvert-Lewin,246,5,0,0,3,61,0,0,0,0.3,5.8,-62136,0,2
Ellis Simms,264,5,0,0,0,0,0,0,0,0.0,4.5,-1430,0,0
Youssef Ramalho Chermiti,645,5,0,0,1,26,0,0,0,0.0,4.9,-1738,1,1
Thomas Cannon,649,5,0,0,0,1,0,0,0,0.0,4.5,-185,0,1
Norberto Bercique Gomes Betuncal,691,5,0,1,2,155,0,0,0,0.2,6.0,17820,0,4
Aleksandar Mitrović,278,5,0,0,0,32,0,0,0,0.9,7.4,-324808,0,1
Rodrigo Muniz Carvalho,279,5,0,0,2,13,0,0,0,0.6,4.4,6633,0,2
Carlos Vinícius Alves Morais,287,5,2,0,0,28,0,0,0,2.0,4.8,-188954,0,7
Raúl Jiménez,558,5,0,1,8,373,0,0,0,1.2,5.4,-8281,1,8
Jay Stansfield,651,5,0,0,0,0,0,0,0,0.0,4.5,-132,0,0
Darwin Núñez Ribeiro,293,5,3,1,0,139,0,0,0,11.7,7.4,-221258,1,22
Cody Gakpo,297,5,1,0,4,264,0,0,0,3.4,7.3,-307336,0,12
Elijah Adebayo,314,5,0,0,4,217,0,0,0,0.7,4.9,-37375,0,7
John McAtee,324,5,0,0,0,0,0,0,0,1.3,4.5,-142888,0,0
Carlton Morris,326,5,2,0,10,343,0,0,0,2.0,5.5,59966,0,17
Admiral Muskwe,327,5,0,0,0,0,0,0,0,0.1,4.5,-10021,0,0
Chiedozie Ogbene,328,5,0,0,3,55,0,0,0,0.1,4.9,-5736,0,4
Aribim Pepple,331,5,0,0,0,0,0,0,0,0.1,4.5,-10188,0,0
Joe Taylor,336,5,0,0,0,0,0,0,0,0.2,4.5,-17823,0,0
Cauley Woodrow,340,5,0,0,2,17,0,0,0,0.6,4.4,-16247,0,3
Jacob Brown,631,5,0,0,6,138,0,0,0,0.1,4.9,1338,1,7
Julián Álvarez,343,5,5,2,3,449,0,0,0,20.4,6.8,1393384,1,37
Erling Haaland,355,5,6,2,3,439,0,0,0,92.2,14.1,327536,0,45
Anthony Martial,390,5,0,0,4,156,0,0,0,0.3,6.5,-5729,0,5
Shola Shoretire,399,5,0,0,0,0,0,0,0,0.3,4.4,4421,0,0
Rasmus Højlund,617,5,0,0,4,86,0,0,0,2.9,7.0,163592,0,3
Alexander Isak,415,5,3,1,5,276,0,0,0,25.5,7.6,430660,0,19
Callum Wilson,433,5,1,1,4,186,0,0,0,5.3,7.8,-347536,1,18
Taiwo Awoniyi,437,5,3,1,5,333,0,0,0,6.1,6.6,456244,0,30
Emmanuel Dennis,443,5,0,0,0,0,0,0,0,0.3,4.8,-26980,0,0
Sam Surridge,464,5,0,0,0,0,0,0,0,0.2,4.5,-19172,0,0
Hwang Ui-jo,466,5,0,0,0,0,0,0,0,0.9,4.4,-48742,0,0
Chris Wood,468,5,2,0,0,43,0,0,0,0.6,5.0,-6546,0,11
Divock Origi,714,5,0,0,0,19,0,0,0,0.1,5.0,7122,0,1
Cameron Archer,33,5,3,0,4,169,0,0,0,6.2,4.5,38169,2,13
Rhian Brewster,477,5,0,0,0,0,0,0,0,0.0,4.9,-4134,0,0
Daniel Jebbison,483,5,0,0,0,0,0,0,0,0.0,4.9,-921,0,0
Oliver McBurnie,485,5,0,0,5,199,0,0,0,0.0,5.4,-1786,0,5
Iliman Ndiaye,486,5,0,0,0,0,0,0,0,0.0,5.5,-1940,0,0
William Osula,490,5,0,0,3,233,0,0,0,1.1,4.5,-39704,2,4
Bénie Traoré,593,5,0,0,4,272,0,0,0,0.1,5.4,-2683,0,7
Louie Marsh,654,5,0,0,0,0,0,0,0,0.0,4.5,214,0,0
Antwoine Hackford,656,5,0,0,1,11,0,0,0,0.1,4.5,2239,0,2
Harry Kane,500,5,0,0,0,0,0,0,0,0.7,12.5,-313454,0,0
Dane Scarlett,640,5,0,0,0,0,0,0,0,0.2,4.5,-13616,0,0
Alejo Véliz,641,5,0,0,0,0,0,0,0,0.1,5.4,-2464,0,0
Michail Antonio,523,5,4,3,2,375,0,0,0,4.6,6.0,155213,1,21
Danny Ings,535,5,0,0,2,30,0,0,0,0.9,5.8,-98573,0,4
Divin Mubama,538,5,0,0,0,0,0,0,0,7.5,4.4,-343538,0,0
Gianluca Scamacca,541,5,0,0,0,0,0,0,0,0.0,6.0,-4622,0,0
Fábio Silva,552,5,0,1,7,242,0,0,0,0.3,5.4,-6665,0,7
Sasa Kalajdzic,562,5,1,0,1,16,0,0,0,0.2,5.0,-912,0,8
Matheus Santos Carneiro Da Cunha,590,5,0,1,9,400,0,0,0,0.6,5.5,14452,0,14
Nathan Fraser,704,5,0,0,0,0,0,0,0,0.0,4.5,1910,0,0
