name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Aaron Ramsdale,17,7,0,1,4,360,0,0,5,11.3,-668840,0,4.9,11
Rúnar Alex Rúnarsson,18,7,0,0,0,0,0,0,0,0.1,-7264,0,4.0,0
David Raya Martin,113,7,2,2,2,270,0,0,5,3.2,-180775,0,4.8,16
Karl Hein,646,7,0,0,0,0,0,0,0,0.0,994,0,4.0,0
Emiliano Martínez Romero,49,7,2,2,10,540,0,0,19,6.7,-132097,2,4.9,20
Robin Olsen,53,7,0,0,1,90,0,0,1,0.8,-9984,0,4.0,2
Viljami Sinisalo,57,7,0,0,0,0,0,0,0,0.0,-267,0,4.0,0
Filip Marschall,670,7,0,0,0,0,0,0,0,0.0,671,0,4.0,0
Oliwier Zych,686,7,0,0,0,0,0,0,0,0.1,2934,0,4.0,0
Norberto Murara Neto,77,7,5,1,15,630,0,1,30,1.6,62758,2,4.5,27
Darren Randolph,80,7,0,0,0,0,0,0,0,0.5,-8579,0,4.0,0
Mark Travers,88,7,0,0,0,0,0,0,0,0.1,-6596,0,4.0,0
Ionuț Radu,607,7,0,0,0,0,0,0,0,0.1,-3090,0,4.4,0
Ellery Balcombe,91,7,0,0,0,0,0,0,0,0.2,-4854,0,4.0,0
Matthew Cox,97,7,0,0,0,0,0,0,0,0.0,-395,0,4.0,0
Mark Flekken,101,7,1,1,10,630,0,0,17,3.4,142224,1,4.5,19
Thomas Strakosha,116,7,0,0,0,0,0,0,0,0.7,18627,0,3.9,0
Tom McGill,141,7,0,0,0,0,0,0,0,0.2,-2497,0,3.9,0
Kjell Scherpen,147,7,0,0,0,0,0,0,0,0.0,-31,0,4.0,0
Jason Steele,148,7,0,0,9,360,0,0,13,3.0,-237489,0,4.4,8
Bart Verbruggen,152,7,0,0,5,270,0,0,8,0.4,-11558,0,4.4,6
Denis Franchi,169,7,0,0,0,0,0,0,0,0.1,-3449,0,3.9,0
Arijanet Muric,172,7,0,0,0,0,0,0,0,0.2,-11280,0,4.4,0
Bailey Peacock-Farrell,175,7,0,0,0,0,0,0,0,0.0,-727,0,4.0,0
Lawrence Vigouroux,181,7,0,0,0,0,0,0,0,0.2,-4033,0,4.0,0
James Trafford,596,7,0,0,16,630,0,0,26,1.0,-9202,1,4.5,15
Robert Sánchez,145,7,4,3,6,630,0,0,19,6.8,325562,1,4.6,33
Kepa Arrizabalaga,187,7,0,0,0,0,0,0,0,0.2,-78272,0,5.0,0
Marcus Bettinelli,192,7,0,0,0,0,0,0,0,0.0,-653,0,4.0,0
Gabriel Słonina,215,7,0,0,0,0,0,0,0,0.0,-3205,0,4.0,0
Lucas Bergström,659,7,0,0,0,0,0,0,0,0.0,454,0,4.0,0
Eddie Beach,680,7,0,0,0,0,0,0,0,0.0,320,0,4.0,0
Djordje Petrovic,687,7,0,0,0,0,0,0,0,0.0,427,0,4.5,0
Vicente Guaita,227,7,0,0,0,0,0,0,0,0.3,-53759,0,4.4,0
Sam Johnstone,230,7,3,3,7,630,0,0,15,2.0,-8498,0,4.5,29
Remi Matthews,233,7,0,0,0,0,0,0,0,0.1,-2195,0,4.0,0
Joe Whitworth,243,7,0,0,0,0,0,0,0,1.2,-12159,0,4.0,0
Dean Henderson,385,7,0,0,0,0,0,0,0,0.3,-11281,0,4.5,0
Jordan Pickford,263,7,0,0,12,630,1,0,16,8.8,-539841,1,4.4,11
João Neves Virgínia,266,7,0,0,0,0,0,0,0,0.7,11755,0,3.9,0
Andy Lonergan,579,7,0,0,0,0,0,0,0,0.1,-1275,0,4.0,0
Bernd Leno,275,7,8,3,12,630,0,0,29,15.8,678868,0,4.7,36
Marek Rodák,284,7,0,0,0,0,0,0,0,0.3,-8983,1,4.0,-1
Steven Benda,692,7,0,0,0,0,0,0,0,0.0,604,0,4.0,0
Adrián San Miguel del Castillo,289,7,0,0,0,0,0,0,0,0.3,-4216,0,4.0,0
Alisson Ramses Becker,291,7,3,1,7,630,0,0,30,10.9,61332,1,5.5,27
Caoimhin Kelleher,301,7,0,0,0,0,0,0,0,0.2,-5406,0,4.0,0
Matt Macey,323,7,0,0,0,0,0,0,0,0.3,-27909,0,4.0,0
James Shea,335,7,0,0,0,0,0,0,0,0.1,-7007,0,4.4,0
Jack Walton,338,7,0,0,0,0,0,0,0,0.0,-562,0,4.0,0
Thomas Kaminski,614,7,1,0,14,630,0,0,22,0.3,11577,1,4.5,13
Tim Krul,665,7,0,0,0,0,0,0,0,0.0,293,0,4.5,0
Scott Carson,347,7,0,0,0,0,0,0,0,0.1,-283,0,3.9,0
Ederson Santana de Moraes,352,7,0,3,5,630,0,0,10,20.0,289535,1,5.6,26
Stefan Ortega Moreno,361,7,0,0,0,0,0,0,0,0.7,-8020,0,3.9,0
Zack Steffen,367,7,0,0,0,0,0,0,0,0.2,2426,0,3.9,0
Tom Heaton,384,7,0,0,0,0,0,0,0,0.1,-4977,0,4.0,0
André Onana,597,7,1,2,11,630,0,0,25,19.0,-844762,2,4.9,22
Radek Vítek,669,7,0,0,0,0,0,0,0,0.0,870,0,4.0,0
Altay Bayindir,695,7,0,0,0,0,0,0,0,0.0,1349,0,4.0,0
Karl Darlow,408,7,0,0,0,0,0,0,0,0.0,-740,0,4.0,0
Martin Dubravka,409,7,0,0,0,0,0,0,0,1.0,-22266,0,3.9,0
Mark Gillespie,411,7,0,0,0,0,0,0,0,0.1,65,0,3.9,0
Nick Pope,424,7,0,3,7,630,0,0,19,11.7,8805,0,5.5,27
Loris Karius,580,7,0,0,0,0,0,0,0,0.2,-4782,0,4.0,0
Matt Turner,28,7,0,1,10,630,0,0,23,14.9,158483,1,4.0,18
Wayne Hennessey,448,7,0,0,0,0,0,0,0,0.2,-8261,0,4.0,0
Ethan Horvath,449,7,0,0,0,0,0,0,0,0.1,-4501,0,4.4,0
George Shelvey,636,7,0,0,0,0,0,0,0,0.0,-675,0,4.0,0
Odysseas Vlachodimos,710,7,0,0,0,0,0,0,0,0.0,540,0,4.5,0
Jordan Amissah,472,7,0,0,0,0,0,0,0,0.3,-4026,0,3.9,0
Adam Davies,479,7,0,0,0,0,0,0,0,0.2,-2338,0,4.0,0
Wes Foderingham,482,7,2,0,19,630,0,0,41,0.3,-1693,1,4.5,17
Brandon Austin,491,7,0,0,0,0,0,0,0,0.2,-3731,0,4.0,0
Fraser Forster,498,7,0,0,0,0,0,0,0,2.4,-135447,0,4.0,0
Hugo Lloris,502,7,0,0,0,0,0,0,0,0.6,-29157,0,4.8,0
Guglielmo Vicario,520,7,3,2,8,630,0,0,27,6.0,422647,1,5.1,29
Alfie Whiteman,521,7,0,0,0,0,0,0,0,0.2,-9185,0,3.9,0
Alphonse Areola,524,7,2,1,10,630,0,1,32,33.5,1095667,0,4.2,32
Lukasz Fabianski,533,7,0,0,0,0,0,0,0,1.6,-133487,0,4.3,0
Joseph Anang,647,7,0,0,0,0,0,0,0,0.1,1268,0,4.0,0
Daniel Bentley,546,7,0,0,0,0,0,0,0,0.4,-8598,0,4.0,0
Tom King,564,7,0,0,0,0,0,0,0,0.8,-7434,0,4.0,0
José Malheiro de Sá,569,7,4,1,13,630,0,0,33,1.5,20687,1,5.0,26
