name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points
Mohamed Elneny,3,7,0,0,0,0,0,0,0.1,-4608,0,4.4,0
Fábio Ferreira Vieira,4,7,3,0,0,185,0,0,0.1,-1445,0,5.4,16
Kai Havertz,6,7,0,0,1,446,0,0,1.7,-293145,3,7.1,15
Jorge Luiz Frello Filho,9,7,0,0,0,72,0,0,0.2,-7408,0,5.4,5
Marcus Oliveira Alencar,11,7,0,0,0,0,0,0,0.1,-10048,0,4.5,0
Gabriel Martinelli Silva,12,7,2,0,0,356,0,0,4.2,-986308,0,7.7,16
Martin Ødegaard,14,7,2,6,3,622,0,0,22.8,-114477,1,8.5,43
Thomas Partey,15,7,0,0,0,235,0,0,0.2,-24424,0,4.8,6
Nicolas Pépé,16,7,0,0,0,0,0,0,0.1,-5017,0,4.9,0
Bukayo Saka,19,7,3,8,4,613,0,0,54.6,-433593,1,8.6,53
Emile Smith Rowe,22,7,0,0,0,10,0,0,0.1,-8022,0,5.3,2
Leandro Trossard,26,7,0,3,1,128,0,0,1.8,-368731,0,6.6,13
Granit Xhaka,30,7,0,0,0,0,0,0,0.0,-1139,0,6.0,0
Declan Rice,540,7,0,3,1,575,0,0,4.4,-211043,0,5.4,24
Reiss Nelson,578,7,0,0,0,35,0,0,0.1,949,0,4.9,3
Leon Bailey,34,7,1,3,2,201,0,0,1.0,7006,1,5.5,22
Emiliano Buendía Stati,35,7,0,0,0,0,0,0,0.0,-15868,0,5.8,0
Philippe Coutinho Correia,38,7,0,0,0,24,0,0,0.2,-40202,0,5.8,2
Leander Dendoncker,40,7,0,0,0,2,0,0,0.0,-1284,0,4.9,2
Douglas Luiz Soares de Paulo,43,7,0,5,3,579,0,0,3.0,21501,4,5.4,32
Tim Iroegbunam,46,7,0,0,0,0,0,0,0.0,-2127,0,4.4,0
Boubacar Kamara,47,7,0,1,0,595,0,0,0.1,-752,1,5.0,15
John McGinn,50,7,1,2,1,567,0,0,0.6,7274,1,5.5,25
Jaden Philogene-Bidace,54,7,0,0,0,3,0,0,0.1,-8525,0,4.5,1
Jacob Ramsey,55,7,0,0,1,48,0,0,0.1,-3433,0,5.9,7
Morgan Sanson,56,7,0,0,0,0,0,0,0.0,-529,0,4.5,0
Youri Tielemans,58,7,0,0,0,136,0,0,0.6,-60539,0,5.7,7
Bertrand Traoré,59,7,0,0,0,9,0,0,0.0,-1523,0,5.0,1
Moussa Diaby,599,7,4,2,2,559,0,0,12.6,566246,0,6.7,40
Omari Kellyman,618,7,0,0,0,0,0,0,0.1,264,0,4.5,0
Nicolò Zaniolo,672,7,0,0,0,228,0,0,0.1,4069,1,5.5,6
Jaidon Anthony,62,7,0,0,0,151,0,0,0.1,-9472,1,4.9,3
Philip Billing,63,7,0,0,0,600,0,0,0.4,-35458,0,5.3,15
David Brooks,64,7,0,2,1,144,0,0,0.1,-1071,1,4.9,13
Ryan Christie,65,7,1,0,0,524,0,0,0.1,3326,0,5.0,17
Lewis Cook,66,7,0,0,0,405,0,0,0.0,-1179,0,5.0,10
Siriki Dembélé,67,7,0,0,0,0,0,0,0.0,-320,0,4.5,0
Gavin Kilkenny,71,7,0,0,0,0,0,0,0.1,-1586,0,4.4,0
Justin Kluivert,72,7,0,0,0,334,0,0,0.2,-24083,0,4.7,9
Jamal Lowe,73,7,0,0,0,0,0,0,0.0,-1018,0,4.9,0
Emiliano Marcondes,74,7,0,0,0,0,0,0,0.0,-2122,0,4.4,0
Dango Ouattara,78,7,0,0,0,120,0,0,0.0,-3633,0,4.8,5
Ben Pearson,79,7,0,0,0,0,0,0,0.0,-94,0,4.5,0
Joe Rothwell,81,7,0,0,0,225,0,0,0.0,-706,0,4.9,6
Marcus Tavernier,86,7,1,0,0,211,0,0,0.0,54,0,5.4,10
Hamed Traorè,87,7,0,0,0,44,0,0,0.0,-1017,0,4.8,3
Alex Scott,644,7,0,0,0,0,0,0,0.0,-669,0,4.9,0
Tyler Adams,673,7,0,0,0,0,0,0,0.0,179,0,5.0,0
Luis Sinisterra,705,7,0,0,0,48,0,0,0.0,383,0,5.5,2
Shandon Baptiste,92,7,0,0,0,18,0,0,1.0,-199224,0,4.4,1
Mads Bidstrup,94,7,0,0,0,0,0,0,0.0,-116,0,4.5,0
Sergi Canós Tenés,95,7,0,0,0,0,0,0,0.0,-3221,0,5.0,0
Mikkel Damsgaard,98,7,0,0,0,52,0,0,0.0,-7624,0,4.9,2
Josh Dasilva,99,7,0,0,0,9,0,0,0.0,-8746,0,4.8,1
Vitaly Janelt,105,7,1,0,0,560,0,0,0.1,-2651,0,5.4,18
Mathias Jensen,106,7,2,6,2,537,0,0,1.4,46680,1,5.4,36
Keane Lewis-Potter,107,7,0,0,0,218,0,0,0.0,-1448,0,4.8,8
Bryan Mbeumo,108,7,0,4,4,630,0,0,24.5,1453462,1,6.8,38
Christian Nørgaard,110,7,1,2,1,580,0,0,0.2,-1025,1,5.5,24
Frank Onyeka,111,7,0,0,0,104,0,0,0.0,-223,1,4.9,4
Kevin Schade,115,7,1,2,1,255,0,0,0.1,-2032,0,5.4,19
Ryan Trevitt,118,7,0,0,0,0,0,0,0.0,-1419,0,4.5,0
Yegor Yarmolyuk,120,7,0,0,0,0,0,0,0.7,-14799,0,4.4,0
Michael Olakigbe,620,7,0,0,0,10,0,0,0.0,356,0,4.5,3
Ethan Brierley,684,7,0,0,0,0,0,0,0.0,381,0,4.5,0
Saman Ghoddos,701,7,0,0,0,38,0,0,0.0,219,1,4.5,1
Simon Adingra,122,7,1,0,1,234,0,0,0.3,-2701,0,5.0,16
Steven Alzate,123,7,0,0,0,0,0,0,0.1,-8165,0,4.4,0
Yasin Ayari,124,7,0,0,0,0,0,0,0.0,-3924,0,4.5,0
Facundo Buonanotte,125,7,0,0,0,45,0,0,0.0,-2902,0,4.8,1
Mahmoud Dahoud,128,7,1,0,0,244,0,0,0.1,-6097,1,4.8,11
Julio Enciso,130,7,2,0,0,68,0,0,0.7,-320006,1,5.1,8
Billy Gilmour,133,7,3,4,0,434,0,0,0.6,43139,1,4.9,24
Pascal Groß,134,7,0,6,2,438,0,0,1.5,-246444,1,6.3,26
Kacper Kozłowski,137,7,0,0,0,0,0,0,0.0,-115,0,4.5,0
Adam Lallana,138,7,0,0,0,111,0,0,0.0,-3253,1,4.9,5
Solly March,140,7,0,4,3,375,0,0,6.5,215552,0,6.4,31
James Milner,142,7,0,0,0,227,0,0,0.1,-11844,2,4.8,6
Kaoru Mitoma,143,7,3,6,3,575,0,0,42.2,463219,3,6.6,40
Jakub Moder,144,7,0,0,0,0,0,0,0.1,-1200,0,4.4,0
Jeremy Sarmiento Morante,146,7,0,0,0,0,0,0,0.0,-1388,0,4.5,0
Jack Hinshelwood,621,7,0,0,0,85,0,0,0.0,-22,0,4.5,2
Carlos Baleba,690,7,0,0,0,20,0,0,0.0,1616,0,4.5,2
Anssumane Fati Vieira,700,7,0,0,1,116,0,0,0.6,41971,1,6.5,7
